"","x"
"2557","OSBPL11"
"2558","SLC41A3"
"2559","ZXDC"
"2560","RPN1"
"2561","FTH1P4"
"2562","COPG1"
"2563","HMCES"
"2564","EFCAB12"
"2565","IFT122"
"2566","ATP2C1"
"2567","AC117409.1"
"2568","ACPP"
"2569","SLC35G2"
"2570","DZIP1L"
"2571","A4GNT"
"2572","ARMC8"
"2573","MRAS"
"2574","FAIM"
"2575","PIK3CB"
"2576","SLC25A36"
"2577","ATP1B3"
"2578","GK5"
"2579","XRN1"
"2580","CHST2"
"2581","C3orf58"
"2582","PLSCR1"
"2583","HPS3"
"2584","TM4SF1"
"2585","RNF13"
"2586","ANKUB1"
"2587","SIAH2-AS1"
"2588","SIAH2"
"2589","DHX36"
"2590","MME"
"2591","SETP14"
"2592","METTL15P1"
"2593","CCNL1"
"2594","RSRC1"
"2595","KPNA4"
"2596","PDCD10"
"2597","SEC62"
"2598","PHC3"
"2599","SKIL"
"2600","TNIK"
"2601","FNDC3B"
"2602","TNFSF10"
"2603","SLC31A1P1"
"2604","NCEH1"
"2605","PIK3CA"
"2606","MFN1"
"2607","MTHFD2P7"
"2608","AC108734.3"
"2609","ATP11B"
"2610","KLHL6"
"2611","KLHL24"
"2612","EEF1A1P8"
"2613","MIR1248"
"2614","SNORA81"
"2615","RPS20P14"
"2616","RTP4"
"2617","LPP-AS2"
"2618","LPP"
"2619","AC009319.1"
"2620","TPRG1"
"2621","CCDC50"
"2622","VEZF1P1"
"2623","ATP13A3"
"2624","ACAP2"
"2625","MUC20P1"
"2626","TM4SF19-AS1"
"2627","TM4SF19-TCTEX1D2"
"2628","TM4SF19"
"2629","UBXN7"
"2630","SENP5"
"2631","ABCA11P"
"2632","PIGG"
"2633","SLC49A3"
"2634","AC139887.1"
"2635","PCGF3"
"2636","FGFRL1"
"2637","POLN"
"2638","SH3BP2"
"2639","MSANTD1"
"2640","RGS12"
"2641","CYTL1"
"2642","STK32B"
"2643","WFS1"
"2644","MRFAP1"
"2645","RAB28"
"2646","BOD1L1"
"2647","FAM200B"
"2648","BST1"
"2649","CD38"
"2650","NCAPG"
"2651","LCORL"
"2652","AC104662.2"
"2653","PI4K2B"
"2654","SEL1L3"
"2655","TLR1"
"2656","AC079921.1"
"2657","KLHL5"
"2658","WDR19"
"2659","SMIM14"
"2660","RHOH"
"2661","AC098869.2"
"2662","RBM47"
"2663","NSUN7"
"2664","APBB2"
"2665","TMEM33"
"2666","GUF1"
"2667","RAC1P2"
"2668","AC092597.1"
"2669","SLAIN2"
"2670","CHIC2"
"2671","TMEM165"
"2672","CEP135"
"2673","AASDH"
"2674","HOPX"
"2675","EXOC5P1"
"2676","RUFY3"
"2677","HMGA1P2"
"2678","CXCL8"
"2679","CXCL3"
"2680","CXCL2"
"2681","EREG"
"2682","AREG"
"2683","THAP6"
"2684","G3BP2"
"2685","USO1"
"2686","CXCL9"
"2687","SCARB2"
"2688","FAM47E-STBD1"
"2689","STBD1"
"2690","TXNP6"
"2691","CNOT6L"
"2692","RASGEF1B"
"2693","BIN2P1"
"2694","THAP9-AS1"
"2695","LIN54"
"2696","CDS1"
"2697","ARHGAP24"
"2698","MAPK10"
"2699","GAPDHP60"
"2700","KLHL8"
"2701","SPP1"
"2702","RF02114"
"2703","FAM13A-AS1"
"2704","FAM13A"
"2705","GPRIN3"
"2706","PDLIM5"
"2707","EIF4E"
"2708","TRMT10A"
"2709","DAPP1"
"2710","DNAJB14"
"2711","SLC39A8"
"2712","KRT8P46"
"2713","LRRC37A15P"
"2714","UBE2D3"
"2715","EEF1A1P9"
"2716","DKK2"
"2717","PAPSS1"
"2718","SGMS2"
"2719","AC096564.1"
"2720","SEC24B"
"2721","MCUB"
"2722","AP1AR"
"2723","TIFA"
"2724","ALPK1"
"2725","LARP7"
"2726","NT5C3AP1"
"2727","CEP170P1"
"2728","AC110079.1"
"2729","AC110373.1"
"2730","GTF2IP12"
"2731","ANXA5"
"2732","BBS7"
"2733","BBS12"
"2734","SLC7A11-AS1"
"2735","SLC7A11"
"2736","SCOC"
"2737","CLGN"
"2738","TBC1D9"
"2739","IL15"
"2740","USP38"
"2741","SMARCA5"
"2742","OTUD4"
"2743","MMAA"
"2744","LSM6"
"2745","TMEM184C"
"2746","FBXW7-AS1"
"2747","FBXW7"
"2748","MIR4453HG"
"2749","ARFIP1"
"2750","TMEM131L"
"2751","GUCY1B1"
"2752","AC093700.1"
"2753","RAPGEF2"
"2754","AC105250.1"
"2755","GK3P"
"2756","KLHL2"
"2757","DDX60"
"2758","DDX60L"
"2759","SH3RF1"
"2760","GALNT7"
"2761","SAP30"
"2762","MORF4"
"2763","FBXO8"
"2764","HPGD"
"2765","AGA"
"2766","DCTD"
"2767","RWDD4"
"2768","IRF2"
"2769","ACSL1"
"2770","SNX25"
"2771","CYP4V2"
"2772","AC093909.1"
"2773","AC093909.6"
"2774","FRG1"
"2775","AC021087.1"
"2776","CEP72"
"2777","AC026412.2"
"2778","NSUN2"
"2779","SRD5A1"
"2780","TENT4A"
"2781","MTRR"
"2782","TRIO"
"2783","EEF1A1P13"
"2784","ZNF622"
"2785","MYO10"
"2786","BASP1"
"2787","FTH1P10"
"2788","AC026785.2"
"2789","AC010342.1"
"2790","TARS"
"2791","RAI14"
"2792","RAD1"
"2793","DNAJC21"
"2794","LMBRD2"
"2795","SLC1A3"
"2796","NIPBL"
"2797","RICTOR"
"2798","FYB1"
"2799","INTS6P1"
"2800","PTGER4"
"2801","C5orf51"
"2802","C5orf34"
"2803","NNT-AS1"
"2804","PELO"
"2805","FST"
"2806","ARL15"
"2807","GPBP1"
"2808","ELOVL7"
"2809","CKS1BP3"
"2810","TRIM23"
"2811","ERBIN"
"2812","SLC30A5"
"2813","AC010273.1"
"2814","AK6"
"2815","SMN2"
"2816","GTF2H2"
"2817","TNPO1"
"2818","FUNDC2P1"
"2819","ANKRA2"
"2820","ENC1"
"2821","GFM2"
"2822","NSA2"
"2823","COL4A3BP"
"2824","AC010245.1"
"2825","AC113404.3"
"2826","IQGAP2"
"2827","TBCA"
"2828","LHFPL2"
"2829","JMY"
"2830","HOMER1"
"2831","CMYA5"
"2832","ZFYVE16"
"2833","ATP6AP1L"
"2834","TMEM167A"
"2835","XRCC4"
"2836","RASA1"
"2837","LUCAT1"
"2838","MCTP1"
"2839","AC116347.1"
"2840","SLCO4C1"
"2841","GIN1"
"2842","AC133134.1"
"2843","STARD4"
"2844","MCC"
"2845","FEM1C"
"2846","AC010226.1"
"2847","TMED7"
"2848","KRT8P33"
"2849","CSNK1G3"
"2850","LMNB1"
"2851","MARCH3"
"2852","HNRNPKP1"
"2853","ISOC1"
"2854","RAPGEF6"
"2855","AC008695.1"
"2856","PDLIM4"
"2857","SLC22A4"
"2858","MIR3936HG"
"2859","C5orf56"
"2860","IRF1"
"2861","AC116366.3"
"2862","AFF4"
"2863","ZCCHC10"
"2864","C5orf15"
"2865","TCF7"
"2866","PPP2CA"
"2867","AC104109.4"
"2868","SAR1B"
"2869","SEC24A"
"2870","MTND6P4"
"2871","MTND5P11"
"2872","PITX1"
"2873","H2AFY"
"2874","ETF1"
"2875","HSPA9"
"2876","AC011405.1"
"2877","AC142391.1"
"2878","ECSCR"
"2879","TMEM173"
"2880","CXXC5"
"2881","PURA"
"2882","CYSTM1"
"2883","PFDN1"
"2884","HBEGF"
"2885","ANKHD1"
"2886","ANKHD1-EIF4EBP3"
"2887","SRA1"
"2888","TMCO6"
"2889","PCDHGA4"
"2890","PCDHGA6"
"2891","PCDHGA2"
"2892","PCDHGA7"
"2893","PCDHGA9"
"2894","PCDHGB2"
"2895","PCDHGA12"
"2896","PCDHGA11"
"2897","PCDHGB5"
"2898","PCDHGB6"
"2899","PCDHGA5"
"2900","PCDHGB3"
"2901","PCDHGA3"
"2902","PCDHGA10"
"2903","PCDHGB1"
"2904","PCDHGB7"
"2905","PCDHGB4"
"2906","PCDHGC4"
"2907","PCDHGA8"
"2908","PCDHGC5"
"2909","PCDHGC3"
"2910","PCDHGA1"
"2911","FCHSD1"
"2912","ARAP3"
"2913","NR3C1"
"2914","YIPF5"
"2915","AC091887.1"
"2916","DPYSL3"
"2917","JAKMIP2-AS1"
"2918","JAKMIP2"
"2919","AC021078.1"
"2920","CSNK1A1"
"2921","PPARGC1B"
"2922","HMGXB3"
"2923","PDGFRB"
"2924","NDST1"
"2925","DCTN4"
"2926","ZNF300"
"2927","TNIP1"
"2928","GM2A"
"2929","SPARC"
"2930","MFAP3"
"2931","LARP1"
"2932","ITK"
"2933","MIR3142HG"
"2934","C5orf58"
"2935","LCP2"
"2936","KCNMB1"
"2937","SH3PXD2B"
"2938","DUSP1"
"2939","ERGIC1"
"2940","CPEB4"
"2941","FAF2"
"2942","TSPAN17"
"2943","UNC5A"
"2944","HK3"
"2945","UIMC1"
"2946","PRELID1"
"2947","MXD3"
"2948","GRK6"
"2949","DBN1"
"2950","PDLIM7"
"2951","N4BP3"
"2952","AC113348.2"
"2953","ZNF354A"
"2954","CANX"
"2955","MAML1"
"2956","SQSTM1"
"2957","MRNIP"
"2958","ZFP62"
"2959","AC138035.1"
"2960","SERPINB9P1"
"2961","SERPINB9"
"2962","PRPF4B"
"2963","CDYL"
"2964","LY86"
"2965","AL031123.2"
"2966","EEF1E1-BLOC1S5"
"2967","SLC35B3"
"2968","SMIM13"
"2969","NEDD9"
"2970","HIVEP1"
"2971","TBC1D7"
"2972","SIRT5"
"2973","JARID2"
"2974","AL137003.1"
"2975","NUP153"
"2976","TPMT"
"2977","DEK"
"2978","MBOAT1"
"2979","CDKAL1"
"2980","AL031775.1"
"2981","ACOT13"
"2982","RIPOR2"
"2983","U91328.2"
"2984","HIST1H2BG"
"2985","BTN3A2"
"2986","BTN3A1"
"2987","BTN3A3"
"2988","BTN2A1"
"2989","HCG11"
"2990","HMGN4"
"2991","ZNF184"
"2992","TRIM27"
"2993","ZNF311"
"2994","OR2I1P"
"2995","UBD"
"2996","AL645939.1"
"2997","RPL23AP1"
"2998","HLA-F"
"2999","HLA-F-AS1"
"3000","HLA-P"
"3001","HCG4P8"
"3002","HLA-G"
"3003","HLA-H"
"3004","HLA-T"
"3005","HLA-K"
"3006","HLA-U"
"3007","AL671277.1"
"3008","HLA-A"
"3009","HLA-W"
"3010","HLA-J"
"3011","ZNRD1ASP"
"3012","ZNRD1"
"3013","PPP1R11"
"3014","HLA-L"
"3015","TRIM39"
"3016","HLA-E"
"3017","PPP1R10"
"3018","MRPS18B"
"3019","DHX16"
"3020","FLOT1"
"3021","LINC00243"
"3022","HCG27"
"3023","HLA-C"
"3024","MIR6891"
"3025","HLA-B"
"3026","HCP5"
"3027","MICB"
"3028","TNF"
"3029","C6orf47-AS1"
"3030","C6orf47"
"3031","C2-AS1"
"3032","AL645922.1"
"3033","CFB"
"3034","DXO"
"3035","STK19"
"3036","C4A"
"3037","C4B"
"3038","C4B-AS1"
"3039","TAP2"
"3040","AL669918.1"
"3041","PSMB8"
"3042","PSMB8-AS1"
"3043","TAP1"
"3044","PSMB9"
"3045","RING1"
"3046","TAPBP"
"3047","SYNGAP1"
"3048","ZBTB9"
"3049","BAK1"
"3050","GGNBP1"
"3051","HMGA1"
"3052","PPARD"
"3053","FANCE"
"3054","FKBP5"
"3055","SRPK1"
"3056","PNPLA1"
"3057","ETV7"
"3058","PIM1"
"3059","RNF8"
"3060","CMTR1"
"3061","MDGA1"
"3062","ZFAND3"
"3063","BTBD9"
"3064","TREML4"
"3065","AL391903.1"
"3066","TREM1"
"3067","FOXP4"
"3068","USP49"
"3069","CCND3"
"3070","UBR2"
"3071","CUL7"
"3072","ZNF318"
"3073","TJAP1"
"3074","GTPBP2"
"3075","MAD2L1BP"
"3076","AL136131.3"
"3077","VEGFA"
"3078","C6orf223"
"3079","AL109615.3"
"3080","TMEM63B"
"3081","NFKBIE"
"3082","TMEM151B"
"3083","AL353588.1"
"3084","PLA2G7"
"3085","MEP1A"
"3086","TNFRSF21"
"3087","CD2AP"
"3088","FTH1P5"
"3089","FBXO9"
"3090","GCLC"
"3091","FTH1P15"
"3092","PTP4A1"
"3093","AL135905.2"
"3094","AL365217.1"
"3095","EYS"
"3096","FAM135A"
"3097","AL603910.1"
"3098","EEF1A1"
"3099","SLC17A5"
"3100","CD109"
"3101","IRAK1BP1"
"3102","PHIP"
"3103","DOP1A"
"3104","ME1"
"3105","AL135903.1"
"3106","NT5E"
"3107","SNX14"
"3108","SNHG5"
"3109","ZNF292"
"3110","ORC3"
"3111","AKIRIN2"
"3112","RNGTT"
"3113","PNRC1"
"3114","UBE2J1"
"3115","BACH2"
"3116","MAP3K7"
"3117","UFL1"
"3118","USP45"
"3119","ASCC3"
"3120","AL133406.2"
"3121","CRYBG1"
"3122","QRSL1"
"3123","SEC63"
"3124","OSTM1"
"3125","CEP57L1"
"3126","CD164"
"3127","AK9"
"3128","DDO"
"3129","CDK19"
"3130","CNN2P9"
"3131","AMD1"
"3132","AL080317.3"
"3133","REV3L"
"3134","TRAF3IP2"
"3135","FYN"
"3136","TUBE1"
"3137","Z84488.1"
"3138","Z84488.2"
"3139","CALHM6"
"3140","ZUP1"
"3141","KPNA5"
"3142","NUS1"
"3143","MCM9"
"3144","AL137009.1"
"3145","MAN1A1"
"3146","TBC1D32"
"3147","RNF217"
"3148","HINT3"
"3149","PRELID1P1"
"3150","RNF146"
"3151","ECHDC1"
"3152","YWHAZP4"
"3153","SGK1"
"3154","LINC01010"
"3155","AHI1"
"3156","AL357060.1"
"3157","TNFAIP3"
"3158","AL591468.1"
"3159","CCDC28A"
"3160","REPS1"
"3161","HECA"
"3162","TXLNB"
"3163","VTA1"
"3164","HIVEP2"
"3165","TPT1P4"
"3166","UTRN"
"3167","TAB2"
"3168","LATS1"
"3169","PCMT1"
"3170","ULBP1"
"3171","ARMT1"
"3172","ESR1"
"3173","MTRF1L"
"3174","TULP4"
"3175","DYNLT1"
"3176","RSPH3"
"3177","SOD2"
"3178","WTAP"
"3179","AL353625.1"
"3180","IGF2R"
"3181","GAPDHP72"
"3182","RPS6KA2"
"3183","AFDN"
"3184","CTAGE13P"
"3185","C6orf120"
"3186","TCTE3"
"3187","AL354892.3"
"3188","AC215522.2"
"3189","AC093627.5"
"3190","AC093627.4"
"3191","FAM20C"
"3192","PDGFA"
"3193","AC147651.3"
"3194","ZFAND2A"
"3195","MICALL2"
"3196","MAFK"
"3197","TMEM184A"
"3198","LFNG"
"3199","AMZ1"
"3200","GNA12"
"3201","RBAK"
"3202","CCZ1"
"3203","RSPH10B"
"3204","USP42"
"3205","KDELR2"
"3206","PMS2CL"
"3207","RSPH10B2"
"3208","CCZ1B"
"3209","ARL4A"
"3210","SP4"
"3211","EEF1A1P6"
"3212","AC002480.1"
"3213","STEAP1B"
"3214","AC073072.1"
"3215","IL6"
"3216","AC005082.1"
"3217","IGF2BP3"
"3218","CCDC126"
"3219","GSDME"
"3220","CYCS"
"3221","NFE2L3"
"3222","CBX3"
"3223","SNX10"
"3224","AC004540.2"
"3225","HOXA1"
"3226","RF01976"
"3227","RF01978"
"3228","RF01979"
"3229","HOTAIRM1"
"3230","TAX1BP1"
"3231","PLEKHA8"
"3232","AC007036.1"
"3233","ZNRF2"
"3234","LINC01176"
"3235","AC006978.2"
"3236","GARS"
"3237","KBTBD2"
"3238","NT5C3A"
"3239","STARD3NL"
"3240","TRGV5P"
"3241","TRGV5"
"3242","RALA"
"3243","LINC00265"
"3244","RWDD4P2"
"3245","CDK13"
"3246","INHBA"
"3247","INHBA-AS1"
"3248","C7orf25"
"3249","AC010132.3"
"3250","PSMA2"
"3251","STK17A"
"3252","PURB"
"3253","AC004847.1"
"3254","MYO1G"
"3255","TNS3"
"3256","PKD1L1"
"3257","HUS1"
"3258","UPP1"
"3259","FIGNL1"
"3260","GRB10"
"3261","HAUS6P1"
"3262","PHKG1"
"3263","AC073136.1"
"3264","AC073136.2"
"3265","AC099654.2"
"3266","ZNF736"
"3267","YWHAEP1"
"3268","VKORC1L1"
"3269","AC006001.3"
"3270","AC006001.2"
"3271","AC027644.4"
"3272","RABGEF1"
"3273","GTF2IRD1P1"
"3274","NCF1B"
"3275","POM121B"
"3276","BAZ1B"
"3277","TBL2"
"3278","STX1A"
"3279","LIMK1"
"3280","LAT2"
"3281","GTF2IRD1"
"3282","NCF1"
"3283","CASTOR2"
"3284","NCF1C"
"3285","AC211429.1"
"3286","SPDYE5"
"3287","STYXL1"
"3288","DTX2"
"3289","SPDYE16"
"3290","AC114737.3"
"3291","DTX2P1-UPK3BP1-PMS2P11"
"3292","PMS2P9"
"3293","CCDC146"
"3294","GSAP"
"3295","PTPN12"
"3296","APTR"
"3297","MAGI2"
"3298","MAGI2-AS3"
"3299","DMTF1"
"3300","SLC25A40"
"3301","GTPBP10"
"3302","CLDN12"
"3303","CDK14"
"3304","FZD1"
"3305","AC000120.1"
"3306","KRIT1"
"3307","SAMD9"
"3308","SAMD9L"
"3309","ASNS"
"3310","OR7E38P"
"3311","AC004967.2"
"3312","AC079781.5"
"3313","LMTK2"
"3314","AC093799.1"
"3315","BAIAP2L1"
"3316","SMURF1"
"3317","BUD31"
"3318","ZNF655"
"3319","AC005020.2"
"3320","CYP3A5"
"3321","SPDYE3"
"3322","TRIM56"
"3323","SERPINE1"
"3324","PLOD3"
"3325","CLDN15"
"3326","SH2B2"
"3327","SPDYE6"
"3328","SPDYE2"
"3329","POLR2J3"
"3330","SPDYE2B"
"3331","AC007384.1"
"3332","KMT2E-AS1"
"3333","AC005070.3"
"3334","KMT2E"
"3335","AC007032.1"
"3336","NAMPT"
"3337","CCDC71L"
"3338","HBP1"
"3339","COG5"
"3340","PNPLA8"
"3341","THAP5"
"3342","DNAJB9"
"3343","DOCK4"
"3344","MDFIC"
"3345","CPED1"
"3346","FAM3C"
"3347","POT1"
"3348","AC000123.1"
"3349","GCC1"
"3350","HILPDA"
"3351","AC010655.3"
"3352","AC010655.2"
"3353","AC090114.2"
"3354","AC090114.1"
"3355","CALU"
"3356","AC078846.1"
"3357","LINC-PINT"
"3358","AC016831.6"
"3359","LINC-PINT"
"3360","MKLN1-AS"
"3361","MKLN1"
"3362","TMEM140"
"3363","AC083862.2"
"3364","CYREN"
"3365","CNOT4"
"3366","LUZP6"
"3367","MTPN"
"3368","AC009245.1"
"3369","CREB3L2"
"3370","TRIM24"
"3371","C7orf55-LUC7L2"
"3372","PARP12"
"3373","BRAF"
"3374","CLEC5A"
"3375","MGAM"
"3376","FAM131B"
"3377","TCAF2C"
"3378","CUL1"
"3379","EZH2"
"3380","ZNF786"
"3381","ZNF398"
"3382","ACTR3C"
"3383","LRRC61"
"3384","AC073111.5"
"3385","LINC00996"
"3386","GIMAP8"
"3387","GIMAP7"
"3388","GIMAP4"
"3389","GIMAP6"
"3390","GIMAP2"
"3391","ASIC3"
"3392","NUB1"
"3393","WDR86"
"3394","RHEB"
"3395","AC093583.1"
"3396","KMT2C"
"3397","AC093726.1"
"3398","LINC01006"
"3399","RNF32"
"3400","LMBR1"
"3401","AC004898.1"
"3402","DNAJB6"
"3403","ESYT2"
"3404","FBXO25"
"3405","CLN8"
"3406","KBTBD11-OT1"
"3407","ARHGEF10"
"3408","AC016065.1"
"3409","MCPH1-AS1"
"3410","AGPAT5"
"3411","MTMR9"
"3412","LONRF1"
"3413","MSR1"
"3414","VPS37A"
"3415","MTMR7"
"3416","ASAH1"
"3417","NAT1"
"3418","CSGALNACT1"
"3419","POLR3D"
"3420","PPP3CC"
"3421","AC037459.2"
"3422","BIN3"
"3423","EGR3"
"3424","TNFRSF10B"
"3425","TNFRSF10A-AS1"
"3426","TNFRSF10A"
"3427","AC100861.2"
"3428","AC100861.1"
"3429","LOXL2"
"3430","ENTPD4"
"3431","SLC25A37"
"3432","ADAM28"
"3433","ADAMDEC1"
"3434","DOCK5"
"3435","KCTD9"
"3436","BNIP3L"
"3437","PTK2B"
"3438","CLU"
"3439","LEPROTL1"
"3440","AC026979.4"
"3441","RBPMS"
"3442","TTI2"
"3443","AF279873.1"
"3444","LSM12P1"
"3445","AC091182.1"
"3446","BRF2"
"3447","BAG4"
"3448","AC087362.1"
"3449","LETM2"
"3450","AC087623.1"
"3451","FGFR1"
"3452","AC007991.4"
"3453","IDO1"
"3454","IDO2"
"3455","ANK1"
"3456","AP3M2"
"3457","POLB"
"3458","PCMTD1"
"3459","RB1CC1"
"3460","ATP6V1H"
"3461","TCEA1"
"3462","TGS1"
"3463","SEPT10P1"
"3464","LINC00968"
"3465","IMPAD1"
"3466","UBXN2B"
"3467","SDCBP"
"3468","NSMAF"
"3469","RAB2A"
"3470","CHD7"
"3471","MTFR1"
"3472","AC110998.1"
"3473","ARFGEF1"
"3474","SDCBPP2"
"3475","NCOA2"
"3476","MSC"
"3477","TRPA1"
"3478","MSC-AS1"
"3479","PKMP4"
"3480","PAG1"
"3481","AC018616.1"
"3482","FTH1P11"
"3483","AC023644.1"
"3484","SNX16"
"3485","HNRNPA1P4"
"3486","LRRCC1"
"3487","SLC2A3P4"
"3488","AF117829.1"
"3489","OSGIN2"
"3490","NBN"
"3491","DECR1"
"3492","FAM92A"
"3493","AC010834.1"
"3494","SDC2"
"3495","TSPYL5"
"3496","MTDH"
"3497","SPAG1"
"3498","YWHAZ"
"3499","AP003469.4"
"3500","AZIN1"
"3501","BAALC"
"3502","DCSTAMP"
"3503","LRP12"
"3504","TAGLN2P1"
"3505","TRPS1"
"3506","MTBP"
"3507","SNTB1"
"3508","ZHX2"
"3509","AC104316.1"
"3510","DERL1"
"3511","TBC1D31"
"3512","C8orf76"
"3513","ZHX1-C8orf76"
"3514","AC090198.1"
"3515","NSMCE2"
"3516","ASAP1"
"3517","AC083843.2"
"3518","KHDRBS3"
"3519","PTK2"
"3520","LY6E"
"3521","GRINA"
"3522","PARP10"
"3523","SPATC1"
"3524","SMPD5"
"3525","OPLAH"
"3526","WDR97"
"3527","CBWD1"
"3528","DOCK8"
"3529","AL359076.1"
"3530","VLDLR-AS1"
"3531","VLDLR"
"3532","RFX3"
"3533","GLIS3"
"3534","JAK2"
"3535","INSL6"
"3536","KIAA2026"
"3537","UHRF2"
"3538","AL354707.1"
"3539","ZDHHC21"
"3540","TTC39B"
"3541","FTH1P12"
"3542","CNTLN"
"3543","RRAGA"
"3544","HAUS6"
"3545","PLIN2"
"3546","MLLT3"
"3547","CDKN2B"
"3548","CLIC4P1"
"3549","ACO1"
"3550","DDX58"
"3551","DNAJA1"
"3552","B4GALT1"
"3553","CHMP5"
"3554","NFX1"
"3555","DCAF12"
"3556","UBAP1"
"3557","KIF24"
"3558","FAM219A"
"3559","GLULP4"
"3560","YWHAZP6"
"3561","DNAJB5"
"3562","RUSC2"
"3563","CREB3"
"3564","RNF38"
"3565","EBLN3P"
"3566","EXOSC3"
"3567","DCAF10"
"3568","PGM5P2"
"3569","FRG1HP"
"3570","CBWD3"
"3571","AL161457.2"
"3572","PGM5"
"3573","PTAR1"
"3574","KLF9"
"3575","PSAT1"
"3576","IDNK"
"3577","UBQLN1"
"3578","KIF27"
"3579","AL354733.3"
"3580","HNRNPK"
"3581","RMI1"
"3582","AL356134.1"
"3583","SLC28A3"
"3584","NAA35"
"3585","TUT7"
"3586","S1PR3"
"3587","SECISBP2"
"3588","SEMA4D"
"3589","IARS"
"3590","IPPK"
"3591","SUSD3"
"3592","CARD19"
"3593","FAM120AOS"
"3594","FAM120A"
"3595","PTPDC1"
"3596","AL691447.2"
"3597","MFSD14B"
"3598","ERCC6L2"
"3599","HABP4"
"3600","CDC14B"
"3601","ZNF322P1"
"3602","ERP44"
"3603","MSANTD3"
"3604","TMEFF1"
"3605","MSANTD3-TMEFF1"
"3606","ZNF189"
"3607","GRIN3A"
"3608","NIPSNAP3B"
"3609","ABCA1"
"3610","RALGAPA1P1"
"3611","TMEM38B"
"3612","RAD23B"
"3613","KLF4"
"3614","AKAP2"
"3615","PALM2-AKAP2"
"3616","FAM225B"
"3617","FAM225A"
"3618","SLC31A2"
"3619","FKBP15"
"3620","SLC31A1"
"3621","RGS3"
"3622","COL27A1"
"3623","TMEM268"
"3624","TNFSF15"
"3625","TNFSF8"
"3626","TNC"
"3627","TPT1P9"
"3628","CNTRL"
"3629","RAB14"
"3630","AL513122.2"
"3631","STOM"
"3632","MRRF"
"3633","RC3H2"
"3634","NEK6"
"3635","PSMB7"
"3636","HSPA5"
"3637","FAM129B"
"3638","STXBP1"
"3639","SH2D3C"
"3640","AL162586.1"
"3641","ENG"
"3642","AK1"
"3643","ST6GALNAC6"
"3644","AL157935.2"
"3645","ST6GALNAC4"
"3646","SLC25A25"
"3647","AL356481.1"
"3648","WDR34"
"3649","SET"
"3650","LRRC8A"
"3651","LINC00963"
"3652","TOR1A"
"3653","NCS1"
"3654","AL157938.2"
"3655","NTNG2"
"3656","TSC1"
"3657","EEF1A1P5"
"3658","SURF4"
"3659","SLC2A6"
"3660","ARF4P1"
"3661","FCN1"
"3662","KCNT1"
"3663","CAMSAP1"
"3664","EDF1"
"3665","FBXW5"
"3666","PTGDS"
"3667","AL807752.7"
"3668","FAM157B"
"3669","MT-TS1"
"3670","MT-TG"
"3671","PLCXD1"
"3672","IL3RA"
"3673","ANOS1"
"3674","WWC3"
"3675","PSMA6P2"
"3676","TLR8"
"3677","MOSPD2"
"3678","PIGA"
"3679","PIR"
"3680","AP1S2"
"3681","SYAP1"
"3682","SCML1"
"3683","RPS6KA3"
"3684","MBTPS2"
"3685","FAM3C2"
"3686","ACOT9"
"3687","SAT1"
"3688","APOO"
"3689","HMGA1P1"
"3690","AC112496.1"
"3691","GK-AS1"
"3692","GK"
"3693","PRRG1"
"3694","CYBB"
"3695","DYNLT3"
"3696","RPGR"
"3697","MID1IP1"
"3698","AC091808.1"
"3699","GAPDHP1"
"3700","BCOR"
"3701","SDCBPP3"
"3702","CLIC4P3"
"3703","CASK"
"3704","NDP"
"3705","MIR222HG"
"3706","GAPDHP65"
"3707","ZNF674-AS1"
"3708","AL512633.1"
"3709","SLC9A7"
"3710","INE1"
"3711","CDK16"
"3712","USP11"
"3713","NUS1P1"
"3714","TIMP1"
"3715","ZNF81"
"3716","FTSJ1"
"3717","OTUD5"
"3718","KCND1"
"3719","GRIPAP1"
"3720","PLP2"
"3721","SYP"
"3722","PPP1R3F"
"3723","VDAC1P2"
"3724","SHROOM4"
"3725","AMER1"
"3726","ZC4H2"
"3727","TLE1P1"
"3728","AL034397.3"
"3729","VSIG4"
"3730","YIPF6"
"3731","PJA1"
"3732","CNOT7P1"
"3733","AL590764.2"
"3734","IL2RG"
"3735","ITGB1BP2"
"3736","RAB11FIP1P1"
"3737","Z83843.1"
"3738","FTX"
"3739","RLIM"
"3740","PBDC1"
"3741","PGAM4"
"3742","ATP7A"
"3743","PGK1"
"3744","TAF9B"
"3745","HK2P1"
"3746","BRWD3"
"3747","HDX"
"3748","SATL1"
"3749","CHM"
"3750","STIP1P3"
"3751","USP12PX"
"3752","EIF4A1P10"
"3753","DIAPH2"
"3754","Z97985.1"
"3755","GLA"
"3756","ARMCX2"
"3757","AL672207.1"
"3758","TCEAL9"
"3759","MORF4L2"
"3760","SLC25A53"
"3761","KCTD9P2"
"3762","TSC22D3"
"3763","ACSL4"
"3764","TMEM164"
"3765","GNG5P2"
"3766","ALG13"
"3767","LONRF3"
"3768","PGRMC1"
"3769","RNF113A"
"3770","NKAP"
"3771","XIAP"
"3772","STAG2"
"3773","ELF4"
"3774","RAP2C-AS1"
"3775","GPC4"
"3776","FAM122C"
"3777","RTL8A"
"3778","MMGT1"
"3779","SLITRK4"
"3780","FMR1"
"3781","FTH1P8"
"3782","AFF2"
"3783","SLC6A8"
"3784","BCAP31"
"3785","ABCD1"
"3786","SRPK3"
"3787","L1CAM"
"3788","ATP6AP1"
